key,promo_uuid,cohort,segment,percentage,n_sent_users,n_applied_users,n_redeemd_orders,applies_per_send,redemptions_per_apply,cpit,cpif,cpigb,cpib,users,orders,orders_pu,orders_pu_lift,avg_basket,avg_basket_lift,gb,gb_pu,gb_pu_lift,fares,fare_pu,fare_pu_lift,billings,billings_pu,billings_pu_lift,ni,ni_pu,ni_pu_lift,redeems,redeems_pu,spend,spend_per_redeem,lifetime_eats_trips,t30d_eats_trips,t10d_eats_trips,lifetime_rides_trips,t30d_rides_trips,t10d_rides_trips,t90d_avg_basket,t90d_avg_ni,t90d_promo_spend
june_usa_xp,aa546dd8-23d3-406f-96dc-3f3bcc692389,rand_no_push,All Eaters,1,800000,54131,81287,0.0677,1.5017,5.7917,0.3494,0.2136,0.3347,800000,322153,0.4027,0.0697,18.8823,-0.0038,8453646,10.5671,0.0722,7890212,9.8628,0.0461,8056996,10.0712,0.0472,1036069,1.2951,-0.105,81287,0.1016,224910.39,2.7669,26.5083,1.817,0.5957,167.1124,6.3657,2.1037,20.6711,4.1537,54.2183
june_usa_xp,aa546dd8-23d3-406f-96dc-3f3bcc692389,rand_no_push,Breakfast Occasionals,0.0303,24259,2207,2827,0.091,1.2809,3.5525,0.1911,0.134,0.1852,24259,12555,0.5175,0.0831,17.4227,0.0055,303802,12.5233,0.0918,284295,11.7192,0.0672,290053,11.9565,0.068,34370,1.4168,-0.0905,2827,0.1165,7236.27,2.5597,30.7298,2.3577,0.7622,175.4567,7.3268,2.3772,18.1555,3.3814,35.423
june_usa_xp,aa546dd8-23d3-406f-96dc-3f3bcc692389,rand_no_push,High Frequency Eater,0.0305,24416,7242,20192,0.2966,2.7882,9.6864,0.8823,0.3907,0.8252,24416,70641,2.8932,0.0581,17.9162,-0.0073,1770975,72.5334,0.0574,1643885,67.3282,0.0266,1679644,68.7928,0.0279,202941,8.3118,-0.1562,20192,0.827,54262.84,2.6873,131.7648,14.6807,4.9409,404.5985,26.0231,8.713,18.5174,3.5731,667.3298
june_usa_xp,aa546dd8-23d3-406f-96dc-3f3bcc692389,rand_no_push,Inactive for Past 28 Days,0.5575,445998,15160,17916,0.034,1.1818,4.0275,0.219,0.149,0.21,445998,74206,0.1664,0.088,18.8791,-0.0045,1949195,4.3704,0.0908,1817419,4.0749,0.0647,1858649,4.1674,0.0661,231497,0.5191,-0.0946,17916,0.0402,50688.94,2.8293,14.9435,0.5359,0.1657,125.0132,3.7945,1.2401,20.8368,4.1228,16.9478
june_usa_xp,aa546dd8-23d3-406f-96dc-3f3bcc692389,rand_no_push,Med Frequency Lunch / Dinner,0.1208,96680,14936,23499,0.1545,1.5733,5.6473,0.3341,0.2059,0.32,96680,92118,0.9528,0.0684,19.1657,-0.0039,2451095,25.3527,0.0707,2288420,23.67,0.0456,2336181,24.1641,0.0466,306895,3.1743,-0.0979,23499,0.2431,65022.72,2.767,51.7495,4.6126,1.7448,259.7892,12.2162,4.3251,20.233,4.1189,121.7683
june_usa_xp,aa546dd8-23d3-406f-96dc-3f3bcc692389,rand_no_push,Weekday Dinner Occasionals,0.1195,95589,6249,7035,0.0654,1.1258,4.0802,0.2156,0.1418,0.204,95589,31038,0.3247,0.0769,20.6811,-0.0061,883717,9.245,0.0778,828565,8.668,0.0534,845332,8.8434,0.0554,120012,1.2555,-0.0701,7035,0.0736,20402.26,2.9001,25.1967,1.6295,0.3663,191.0366,6.8668,2.0708,21.9125,4.685,29.9725
june_usa_xp,aa546dd8-23d3-406f-96dc-3f3bcc692389,rand_no_push,Weekday Lunch Occasionals,0.0637,50961,4304,5327,0.0845,1.2377,1.0088,0.0475,0.0371,0.0471,50961,21803,0.4278,0.1208,18.0006,0.0059,545977,10.7136,0.1325,512378,10.0543,0.1079,521569,10.2347,0.1068,68049,1.3353,-0.0337,5327,0.1045,14462.26,2.7149,26.845,1.996,0.5252,158.5678,6.496,1.9874,18.5603,3.6492,26.6931
june_usa_xp,aa546dd8-23d3-406f-96dc-3f3bcc692389,rand_no_push,Weekend Occasionals,0.0776,62097,4033,4491,0.0649,1.1136,2.6458,0.1287,0.0935,0.1253,62097,19792,0.3187,0.0889,20.1,-0.0025,548886,8.8392,0.0909,515251,8.2975,0.0689,525567,8.4637,0.0694,72305,1.1644,-0.0558,4491,0.0723,12835.1,2.858,23.8057,1.5386,0.5324,189.2525,6.7404,2.2883,21.8872,4.5425,26.6096
june_usa_xp,aa546dd8-23d3-406f-96dc-3f3bcc692389,rand_yes_push,All Eaters,1,800000,57643,84846,0.0721,1.4719,5.6874,0.3487,0.215,0.3336,800000,324381,0.4055,0.0771,18.8394,-0.0061,8498632,10.6233,0.0779,7921066,9.9013,0.0502,8089524,10.1119,0.0514,1025586,1.282,-0.114,84846,0.1061,236816.35,2.7911,26.469,1.8169,0.5943,167.1402,6.3673,2.1028,20.6689,4.1588,55.0903
june_usa_xp,aa546dd8-23d3-406f-96dc-3f3bcc692389,rand_yes_push,Breakfast Occasionals,0.0303,24017,2432,3121,0.1013,1.2833,2.4366,0.1198,0.0854,0.1141,24017,12564,0.5231,0.0948,17.5168,0.0109,306536,12.7633,0.1127,285857,11.9023,0.0839,292096,12.1621,0.0864,34764,1.4475,-0.0708,3121,0.1299,8169.32,2.6175,30.826,2.3661,0.7601,179.1895,7.4928,2.4531,18.14,3.366,32.8533
